地区,常住人口（万）,自然对数
成都,1658.1,3.219610719
攀枝花,121.4,2.084218687
绵阳,487.7,2.688152756
德阳,356.1,2.551571974
泸州,432.94,2.636427713
资阳,250.3,2.39846085
眉山,299.5,2.476396827
乐山,327.1,2.514680544
自贡,292.2,2.465680212
宜宾,457.3,2.660201201
广安,325.1,2.512016969
阿坝,94.6,1.975891136
内江,370,2.568201724
雅安,154.1,2.187802639
遂宁,318.9,2.503654519
甘孜,119.9,2.078819183
凉山,531.03,2.725119057
南充,643.5,2.808548551
达州,574.1,2.758987547
巴中,331.92,2.521033422
广元,267.5,2.427323786
