地区,人均GDP,自然对数
成都,33476,4.524733559
攀枝花,30362,4.482330376
绵阳,27170,4.434089638
德阳,27049,4.432151214
泸州,26656,4.42579498
资阳,26424,4.421998561
眉山,26395,4.421521666
乐山,26361,4.420961881
自贡,26267,4.419410474
宜宾,26207,4.418417309
广安,26072,4.416174347
阿坝,25939,4.413953229
内江,25787,4.41140082
雅安,25318,4.403429396
遂宁,25012,4.39814842
甘孜,24978,4.397557661
凉山,24084,4.381728619
南充,23950,4.379305518
达州,23884,4.378107063
巴中,23845,4.377397327
广元,23628,4.373426962
